# Tab-separated list of human-rater predicted connectives.
#
# For each sentence pair, the predictions of three independent raters are provided.
#
# Fields are: example_id, predicted_connective, gold_connective.
#
525800	therefore	in particular
525800	in particular	in particular
525800	[no connective]	in particular
623544	by contrast	by contrast
623544	by contrast	by contrast
623544	by contrast	by contrast
401516	[no connective]	by then
401516	by then	by then
401516	[no connective]	by then
648478	therefore	in particular
648478	[no connective]	in particular
648478	therefore	in particular
481372	[no connective]	then
481372	meanwhile	then
481372	[no connective]	then
557369	moreover	on the other hand
557369	[no connective]	on the other hand
557369	indeed	on the other hand
584092	[no connective]	and
584092	[no connective]	and
584092	[no connective]	and
653100	[no connective]	indeed
653100	[no connective]	indeed
653100	[no connective]	indeed
663390	moreover	finally
663390	for example	finally
663390	[no connective]	finally
656802	and	[no connective]
656802	and	[no connective]
656802	moreover	[no connective]
579556	[no connective]	finally
579556	moreover	finally
579556	[no connective]	finally
417818	however	however
417818	however	however
417818	however	however
539447	and	and
539447	and	and
539447	[no connective]	and
569043	[no connective]	finally
569043	then	finally
569043	finally	finally
502563	and	in particular
502563	indeed	in particular
502563	[no connective]	in particular
482284	otherwise	by contrast
482284	[no connective]	by contrast
482284	by contrast	by contrast
662109	however	on the other hand
662109	however	on the other hand
662109	and	on the other hand
449286	for example	for example
449286	for example	for example
449286	for example	for example
629876	therefore	by then
629876	[no connective]	by then
629876	therefore	by then
398469	indeed	meanwhile
398469	[no connective]	meanwhile
398469	meanwhile	meanwhile
523575	moreover	in particular
523575	and	in particular
523575	however	in particular
633329	[no connective]	overall
633329	[no connective]	overall
633329	however	overall
463163	and	meanwhile
463163	meanwhile	meanwhile
463163	[no connective]	meanwhile
655684	however	however
655684	however	however
655684	however	however
588682	by contrast	moreover
588682	however	moreover
588682	[no connective]	moreover
463494	and	in other words
463494	overall	in other words
463494	in other words	in other words
568154	then	moreover
568154	for example	moreover
568154	and	moreover
589146	[no connective]	for example
589146	in other words	for example
589146	rather	for example
389415	and	indeed
389415	[no connective]	indeed
389415	[no connective]	indeed
433735	indeed	then
433735	[no connective]	then
433735	[no connective]	then
497719	[no connective]	and
497719	[no connective]	and
497719	moreover	and
541630	[no connective]	instead
541630	then	instead
541630	and	instead
511617	by contrast	rather
511617	rather	rather
511617	instead	rather
502988	[no connective]	by contrast
502988	[no connective]	by contrast
502988	therefore	by contrast
582808	otherwise	otherwise
582808	[no connective]	otherwise
582808	in other words	otherwise
627106	[no connective]	therefore
627106	[no connective]	therefore
627106	[no connective]	therefore
416784	by then	by then
416784	however	by then
416784	[no connective]	by then
383679	[no connective]	by then
383679	[no connective]	by then
383679	and	by then
430805	[no connective]	and
430805	[no connective]	and
430805	moreover	and
577591	on the other hand	on the other hand
577591	[no connective]	on the other hand
577591	however	on the other hand
602314	[no connective]	on the other hand
602314	for example	on the other hand
602314	moreover	on the other hand
655630	overall	overall
655630	indeed	overall
655630	and	overall
666601	[no connective]	however
666601	however	however
666601	[no connective]	however
485450	meanwhile	however
485450	moreover	however
485450	[no connective]	however
500579	indeed	finally
500579	moreover	finally
500579	and	finally
584659	moreover	in other words
584659	in other words	in other words
584659	instead	in other words
485418	in other words	however
485418	[no connective]	however
485418	however	however
546113	instead	rather
546113	rather	rather
546113	in other words	rather
493180	[no connective]	in particular
493180	indeed	in particular
493180	[no connective]	in particular
639757	[no connective]	in other words
639757	[no connective]	in other words
639757	[no connective]	in other words
653843	therefore	moreover
653843	in particular	moreover
653843	indeed	moreover
623584	moreover	then
623584	moreover	then
623584	and	then
554492	and	by contrast
554492	[no connective]	by contrast
554492	on the other hand	by contrast
